id	name	ping_1	ping_2	ping_3	ping_4	ping_5	ping_6	ping_7	ping_8	zhang_1	zhang_2	StructuredFund
512560	易方达中证军工ETF行情吧档案			0.7208	0.7208	0.7152	0.7152	0.7160	0.67%	0.0056	0.78%	True
512810	华宝中证军工ETF行情吧档案			0.6205	0.6205	0.6157	0.6157	0.6190	0.24%	0.0048	0.78%	True
512310	南方中证500工业ETF行情吧档案			0.4306	0.4306	0.4273	0.4273	0.4310	-0.09%	0.0033	0.77%	True
159951	嘉实中关村A股ETF行情吧档案			0.6681	0.6681	0.6630	0.6630	0.6640	0.61%	0.0051	0.77%	True
512680	广发中证军工ETF行情吧档案			0.6471	0.6471	0.6423	0.6423	0.6460	0.17%	0.0048	0.75%	True
159918	嘉实中创400ETF行情吧档案			1.1751	1.1751	1.1664	1.1664	1.1790	-0.33%	0.0087	0.75%	True
159936	广发中证全指可选消费ETF行情吧档案			1.1350	1.1350	1.1268	1.1268	1.1270	0.70%	0.0082	0.73%	True
512100	南方中证1000ETF行情吧档案			0.5542	0.5542	0.5504	0.5504	0.5540	0.04%	0.0038	0.69%	True
512780	广发中证京津冀发展ETF行情吧档案			0.7179	0.7179	0.7132	0.7132	0.7180	-0.01%	0.0047	0.66%	True
512260	华安中证低波动ETF行情吧档案			1.0133	1.0133	1.0067	1.0067	1.0110	0.23%	0.0066	0.66%	True
512580	广发中证环保ETF行情吧档案			0.6730	0.6730	0.6691	0.6691	0.6730	0.00%	0.0039	0.58%	True
150189	招商可转债分级债券B行情吧档案			0.6070	1.7000	0.6040	1.6970	0.6230	-2.64%	0.0030	0.50%	True
512980	广发中证传媒ETF行情吧档案			0.6798	0.6798	0.6765	0.6765	0.6810	-0.18%	0.0033	0.49%	True
512890	华泰柏瑞中证低波动ETF行情吧档案			1.0051	1.0051	1.0004	1.0004	1.0030	0.21%	0.0047	0.47%	True
150033	嘉实多利分级债券进取行情吧档案			0.6767	0.9702	0.6745	0.9680	0.8570	-26.64%	0.0022	0.33%	True
